subsidiária,sentimento,comentário
Schweppes,neutro,🥰
Schweppes,neutro,🥰🥰🥰
Schweppes,neutro,"rapaziada, quem puder me seguir p me ajudar a chegar em 10k seria top!! Faço videos e se puder curtir tbm kkkkkk"
Del Valle,positivo,Então é o 1% de suco mais gostoso da vida 😂😂😂😂😂
Del Valle,positivo,boa
Del Valle,positivo,eu gosto o do maracuja
Del Valle,positivo,o de maracujá é o melhor
Del Valle,positivo,prefiro esse de agr
Del Valle,positivo,O Novo Ta Melhor💕💞
Del Valle,negativo,nossa péssimo só comprei uma vez!!! não deu para beber!!!
Del Valle,negativo,Del Valle era bom antes da coca comprar a marca.
Del Valle,negativo,"Depois que a coca comprou a Del vale, não prestou mais ."
Del Valle,negativo,um pecado a coca comprou virou o lixo isso aí
Del Valle,negativo,O prejuízo da troca de rótulos vai vir no bolso do consumidor.
Del Valle,negativo,O quê?????? isso não era suco 😳😳😳 por isso tinha aquele gosto travado na garganta
Del Valle,negativo,"eu queria comprar esse deu vale ontem no mercado, porem n encontrei nenhum lugar informando se era suco, se era refrigerante, se era refresco. Devolvi"
Del Valle,negativo,Suco é aquele que fazemos em casa diretamente da fruta.
Del Valle,negativo,o Del vale e uma água suja com sabor de fruta 😂😂😂😂
Del Valle,negativo,"e isso é o q?! não e suco, néctar, refrir, sei mais lá o que! é só água suja é?!? 😅"
Del Valle,negativo,Imagina a qualidade se até o Tang pode falar que é refresco. 😂
Del Valle,negativo,água pura kkkk
Del Valle,negativo,1% é piada..😂😂😂
Del Valle,negativo,Quando era Dell Vale prestava
Del Valle,negativo,Oque tem dentro da garrafa então água com açúcar
Del Valle,negativo,prefiro o antigo
Del Valle,negativo,"ey era dos antigos e quando minha mae comprou o novo eu falei nossa mamae esse kapo e falso e eunodiava quando ela comprava o ""kapo falso"""
Del Valle,negativo,aviadaram... aviadaram kapo
Del Valle,neutro,"E o Ki-Suco q tem suco no nome, mas o q menos tem ali é fruta. É só açúcar e corante."
Del Valle,neutro,aprendi foi nos @seusdireitos
Del Valle,neutro,desculpa mas aprendi essas coisas em outro canal 😅 foi Aki não kk
Del Valle,neutro,Os advogados do Tiktok estão virando o terror das empresas 😅😅😅😅
Del Valle,neutro,@otaviiojustino
Del Valle,neutro,@seusdireitos
Del Valle,neutro,finalmente
Del Valle,neutro,@kauenassar
Del Valle,neutro,🤣🤣
Del Valle,neutro,"fa sobre o serrasa ?
e o CPF se limpa 100% o nome 😁"
Del Valle,negativo,"E lá se vai o design, a arte, vamos ver onde isso vai dar..."
Del Valle,neutro,Daqui a pouco os advogados do tik tok vão aparecer mortos kkkkk
Del Valle,neutro,eu sempre achei q suco😾
Del Valle,neutro,pensei q era suco
Del Valle,neutro,@seusdireitos
Del Valle,neutro,Nunca tomei 😂
Del Valle,neutro,😳
Del Valle,neutro,"Achei que fosse por chamarem todo laranja, aí no DF..."
Del Valle,neutro,😂😂😂😂😂😂😂😂
Del Valle,neutro,AI MOIOU ..
Del Valle,neutro,"ué . e Tang, etc etc?? tá escrito suco lá kkkkkkk"
Del Valle,neutro,suco kkkk
Del Valle,neutro,😳 uau
Del Valle,neutro,esse suco só serve p tomar cm vodka e olhe la😂
Del Valle,neutro,"e os pozinhos de suco ? que são 0,03%"
Del Valle,neutro,SOCORRO
Del Valle,neutro,☆Mary Clara☆
Del Valle,neutro,"mano,SIM kkkk"
Del Valle,neutro,cara eu era da época que o de uva tinha um tubarão na embalagem
Del Valle,neutro,😂😂😂
Del Valle,neutro,😂😂😂
Del Valle,neutro,@𝓖𝓪𝓫𝔂 • 🎀
Del Valle,neutro,@mari.mxwllo5 aaaaa eu lembro 🥺
Del Valle,neutro,@Amanda._.xss 🧿 MN KKKKKKKKKKKKKKKKK
Del Valle,neutro,@☆
Del Valle,neutro,não é tomar🤨
Del Valle,neutro,nussa kapo era assim? msm assim era gsts né? só da época do kapo bonitin
Coca-Cola,positivo,aonde que vende o Oreo de coca
Coca-Cola,positivo,gente eu comprei é muito bom
Coca-Cola,positivo,eu amei 😭♥️
Coca-Cola,positivo,eu vendo isso bebendo ainda bem pq nn fico com vontade lkkkkkk
Coca-Cola,positivo,Adoro !!!❤️🥤
Coca-Cola,positivo,Eu vendo isso tomando uma coquinha gelada
Coca-Cola,positivo,acabei de beber um corpão de refri🤡
Coca-Cola,positivo,eu tô literalmente bebendo coca cola agora
Coca-Cola,positivo,eu vendo isso bebendo uma coca 🙏✨
Coca-Cola,positivo,pra mim não fez diferença nenhuma continuei tomando coca cola e achei ridículo da parte dele ate por que a coca cola estava patrocinado tbm
Coca-Cola,positivo,grandes coisa eu continuo gostando e bebendo
Coca-Cola,positivo,não vai ser ele que vai fazer eu parar de beber coca cola 😂
Coca-Cola,negativo,não é biscoito é bolacha >:(
Coca-Cola,negativo,o gosto é ruim
Coca-Cola,negativo,Gente esse biscoito é muito esquisito
Coca-Cola,negativo,Mentira não tem o cheiro
Coca-Cola,negativo,A bolacha é mto ruim 😖
Coca-Cola,negativo,vai custar uns 40 reais se chegar até minha cidade
Coca-Cola,negativo,eu comprei a coca cola e n gostei
Coca-Cola,negativo,"experimentei ontem essa coca oreo, hoje tô passando o dia com dor de barriga."
Coca-Cola,negativo,óreo da coca cola é ruim demais kkkkkkk
Coca-Cola,negativo,eles segurando pra na não cuspir KAKAKAKA
Coca-Cola,negativo,tenho certeza que e ruim a bebida kkkkk
Coca-Cola,negativo,a bolachinha é meio ruim😕
Coca-Cola,negativo,"COCA-COLA, COMEÇOU A ESTRAGAR A MARCA DELA🥺"
Coca-Cola,negativo,n gostei do Oreo de coca é ruim🥲
Coca-Cola,negativo,“É docinho “ “ele é sem açúcar😦” não entendi kkkkkkk
Coca-Cola,negativo,queria ter lido esses comentários antes.. não tinha passado tanto desgosto 😂
Coca-Cola,negativo,Eles evitando tomar pq é ruim
Coca-Cola,negativo,a coca cola Oreo é ruim. Mas o biscoito eu amei
Coca-Cola,negativo,O Álvaro kkkkk amigo eu amei kkkkkkkkk como finge mds
Coca-Cola,negativo,eh ruim de mais o gosto
Coca-Cola,negativo,gente essa coca cola e muito ruiiiiiimmm
Coca-Cola,negativo,o oreo é meio ruimzinho
Coca-Cola,negativo,"eu dei esse Oreo pra minha amiga, ela quase vomitou com isso kkkkkkkkkk"
Coca-Cola,negativo,COCA COLA me nota sou desdo tempo do rato na garafa🙌
Coca-Cola,negativo,ainda bem que eu nao tomo refrigerante 😝
Coca-Cola,negativo,Ainda bem que eu não gosto de refrigerante
Coca-Cola,negativo,meu tio tambem tá prosecando a coca cola pois achou uma rã dentro e ele compra para revender
Coca-Cola,negativo,Eu n tomava coca por isso kkkkkkk
Coca-Cola,negativo,"coca cola limpa até ferrugem gente ,vcs vivem aonde???"
Coca-Cola,negativo,o negócio do rato na coca cola aconteceu a mesma coisa com a minha mãe
Coca-Cola,negativo,MANO JÁ VEIO UM RATO NA COCA COLA Q O PESSOAL DA IGREJA TINHA COMPRADO TEM ATÉ FOTI
Coca-Cola,negativo,Eu tô um pouco em choque com a informação q podemos tá tomando rato dissolvido sem saber
Coca-Cola,negativo,eu passei 1 ano sem beber coca pq fiquei traumatizada
Coca-Cola,negativo,ou... a gente pode estar bebendo um monte de bixo dissolvido dentro do nosso refrigerante
Coca-Cola,negativo,MINHA TIA ACHOU UM SAPOOOOOOO NO REFRIGERANTE DELAAAAA
Coca-Cola,negativo,ainda bem que eu não tomo refrigerante.
Coca-Cola,negativo,"Quando pequena, a minha tia tinha um bar que vendia coca-cola, e minha mãe não gostava que eu bebesse refrigerante por conta da minha idade, então ela me contava que tinham ratos na coca-cola, e +"
Coca-Cola,negativo,foi por causa disso que parei de beber coca 😎
Coca-Cola,negativo,"Estou há um ano e 1 mês sem beber coca cola. É difícil, mas com força de vontade a gente consegue."
Coca-Cola,negativo,coca cola não deveria nem existir e um veneno é uma droga q vicia meu marido e mas obeso por essa mrrda já brigamos muito mas ele não consegue parar
Coca-Cola,negativo,"se a coca cola processa ele, eles que ainda iam perder😂"
Coca-Cola,negativo,PQ ELE NÃO DOA O PATROCINIO DA COCA COLA PRA ALGUMA INSTITUIÇÃO AO INVÉS DE USUFRUIR DOS COCADOLARES
Coca-Cola,negativo,gente isso é combinado a coca cola e o Cristiano ronaldo .
Coca-Cola,negativo,tem q ser processado e pagar milhões pra coca
Coca-Cola,negativo,2 minutos depois já ganharam 10 bilhões
Coca-Cola,neutro,"""é bem docinha, sem açúcar"" KKKKKKKKKK"
Coca-Cola,neutro,eles comendo coca e bebendo biscoito
Coca-Cola,neutro,e bolacha 😅
Coca-Cola,neutro,vc pode me manda dois aqui de 309 reais
Coca-Cola,neutro,pq edição limitada é tudo zero ???
Coca-Cola,neutro,e bolachaaaaaaa
Coca-Cola,neutro,Eh bolacha !!!
Coca-Cola,neutro,o oreo de coca me decepcionou com o gosto kkkkkk mas a coca tá tuuudo
Coca-Cola,neutro,"eu acho que eles nunca provaram aqueles pirulitos que vem num pacotinho, é dentro do pacotinho vem um tipo de açúcar que quando coloca na boca estrela kkkkk"
Coca-Cola,neutro,o Bai e o Tola
Coca-Cola,neutro,To bebendo agora slk
Coca-Cola,neutro,Faz 6 dias q eu n tomo coca 🙌🙌🙌🙌(parei por opção)
Coca-Cola,neutro,eu
Coca-Cola,neutro,Eu a qualquer hora do dia
Coca-Cola,neutro,eu com sprite
Coca-Cola,neutro,não to podendo tomar pq to passando mal 🙄
Coca-Cola,neutro,eu 5 da manha de uma segunda feira
Coca-Cola,neutro,eu hj 🤣🤣
Coca-Cola,neutro,Eu com qualquer bebida zero: 😮‍💨🤙🏻
Coca-Cola,neutro,assim
Coca-Cola,neutro,só pra começar o dia
Coca-Cola,neutro,eu agora
Coca-Cola,neutro,EU AGR
Coca-Cola,neutro,Eu nesse momento
Coca-Cola,neutro,eu hj kkkkk
Coca-Cola,neutro,vão no meu lá gente
Coca-Cola,neutro,eu
Coca-Cola,neutro,coisas que não são da minha conta
Coca-Cola,neutro,Meu namorado trabalhou em uma fábrica de açúcar e ele disse que o açúcar vive no chão os funcionários pisando sujeira tudo junto
Coca-Cola,neutro,Se vocês vissem como é feito o extrato de tomate 😅
Coca-Cola,neutro,"contanto que eu não saiba, ta tranquilo"
Coca-Cola,neutro,meu cérebro parou quando ela disse que o corpo já teria dissolvido em alguns dias 😳
Coca-Cola,neutro,MEU PAI ACHOU UMA BARATA DENTRO DE UM GUARANÁ KKKKKKKKKKKKKKKKKKKK Ele ganhou um monte de refri dps
Coca-Cola,neutro,"Depois dessa pergunta, a polícia tá monitorando ela, né?"
Coca-Cola,neutro,obrigado pela informação kkkkkkkkkkkk
Coca-Cola,neutro,"cara se fosse tão ácido assim, a gente ia morrer se tomasse qualquer refri"
Coca-Cola,neutro,vou testar e volto pra dizer se deu certo
Coca-Cola,neutro,"estava estudando sobre o processo de engarrafamento e verificação de refrigerante no curso, e realmente é IMPOSSÍVEL um rato entrar na garrafa e sair da fábrica"
Coca-Cola,neutro,MAIOR PLOT DA MINHA VIDA
Coca-Cola,neutro,E isso dissolve mesmo ?
Coca-Cola,neutro,eu to bebendo coca agora 😔
Coca-Cola,neutro,ei você 🫵🏻 eu te amo ⁉️
Coca-Cola,neutro,essa informação me é útil.
Coca-Cola,neutro,Novo trauma desbloqueado com sucesso 😅
Coca-Cola,neutro,"SOCORROOOOO EU PENSEI EXATAMENTE NISSO, A ÚLTIMA PERGUNTA NO CASO"
Coca-Cola,neutro,eu pensei isso no começo depois ela falou mesmo oq eu pensei 💀
Coca-Cola,neutro,vc parece mt aquela amg da luisa alvarenga
Coca-Cola,neutro,Eu também me perguntei isso
Coca-Cola,neutro,Vo tenta
Coca-Cola,neutro,Ele acreditou que a água é mior que a cola coca
Coca-Cola,neutro,"1.6% ""Quase quebrou "" kkkkkkkkkkkkkkk affs"
Coca-Cola,neutro,olha eu tomo bastante água 🥰 água é saudável 😘
Coca-Cola,neutro,"só rindo de tanta inocencia de alguém acredita nisso,🤭🤭🤭"
Coca-Cola,neutro,E se tivesse ações de Água KAKAKAKAKAKAK
Coca-Cola,neutro,😂😂😂e eu com isso 😂😂😂
Coca-Cola,neutro,mentira aí vc falou besteira. c liga
Coca-Cola,neutro,eles perdem isso quase todos os dias KKKKKKKKKKKKKKKK
Coca-Cola,neutro,siuuuu
Coca-Cola,neutro,"Quebrar é demais, mas um prejuízo bem dado é possível"
Coca-Cola,neutro,Perdeu 4 bilhões.. isso é o que a empresa ganha em 4 dias
Coca-Cola,neutro,🥰
Coca-Cola,neutro,cr7 já fez propaganda pra coca cola
Coca-Cola,neutro,Isso tudo é marketing 😏
Coca-Cola,neutro,Duvido se fosse no início da carreira ele teria feito isto...kkk
Coca-Cola,neutro,"Se Ele Bebê A Coca
as Ações dobrao"
Coca-Cola,neutro,"CASO NAO FOSSE RICO E FAMOSO,NUNCA TERIA FEITO."
Coca-Cola,neutro,perdeu bilhões mais salvou vidas
Coca-Cola,neutro,👍🙂
Coca-Cola,neutro,Bravo CRISTIANO RONALDO!!!
Coca-Cola,neutro,saúde 😁😁
Coca-Cola,neutro,😁😁😁😁😁😁
Coca-Cola,neutro,"Se eu fosse o diretor da Coca cola tirava uma Ferrari dele , Atitude ridículo , Messi ,e Ronaldinho nunca fez isso 🤔"
Coca-Cola,neutro,Vamos falar de nós eles já são famoso coca e Ronaldo
Coca-Cola,neutro,eu bebendo coca cola vendo isso😅
Coca-Cola,neutro,alguém viu breaking bad demais
Fanta,positivo,Eu achei gostosa
Fanta,positivo,Eu senti o sabor de maçã verde com pimenta. Eu particularmente achei interessante kkk
Fanta,positivo,agora eu quero comprar 😎
Fanta,positivo,Ummm deve ficar mto boa em drinks espero que não seja só temporada.
Fanta,positivo,Eu já queerooo
Fanta,negativo,e muito ruim parece remedio
Fanta,negativo,"eu comprei e achei horrível, muito ruim kkkk"
Fanta,negativo,"Não gostei, pra quem é sensível a pimenta não tome, passei mal, queima a garganta"
Fanta,negativo,se tomar 2 latas dessa aí o cocô sai verde
Fanta,negativo,"tem pimentaaaa quase morri 😂😂 tenho alergiaaaaaa , fiquei me coçando muito"
Fanta,negativo,"GENTE, ISSO ARDE"
Fanta,negativo,É MUITO ARDIDO
Fanta,negativo,obrigado não comprarei kk
Fanta,negativo,arde mesmo o sabor e uma delícia mas no final a pimenta acaba com tudo
Fanta,negativo,Todas as Fantas diferentes que já provei eu simplesmente ODIEI.😂😂😂
Fanta,negativo,meu estômago já doeu só de olhar..eu acho a fanta o pior refri
Fanta,neutro,é igual cine de maça verde
Fanta,neutro,Culpa da galera que posta provando aí acaba com a graça do mistério 🙄🙄
Fanta,neutro,está escrito atrás da lata 🤨
Fanta,neutro,e todos são de maçã verdes lkkkkkkkk
Fanta,neutro,É só ler o rótulo na parte dos ingredientes 🤡
Fanta,neutro,Sério que vocês NÃO SABIA QUE TINHA PIMENTA?🌶️🌶️
Fanta,negativo,1% de fruta? Nem precisa por fruta kkkkk
Fanta,neutro,"e sabor de maçã, tá nos ingredientes"
Fanta,negativo,eu senti queimando e achei que tava meio doida
Fanta,neutro,morri um extrato de tomate e nasce um copo kkkkk aqui e assim também 😂😂😂
Fanta,neutro,1% kkkkkkk
Fanta,neutro,Pensei que era só eu que tinha sentido pimenta 😂😂
Fanta,neutro,Arde um pouco😱
Fanta,neutro,É maçã
Fanta,neutro,é de pimenta 😅😅😅😅😅
Fanta,neutro,azideia mano pimenta 😳kkkkkkk
Fanta,neutro,Pimenta 🌶️😂😂 socorro !!!!
Fanta,neutro,"Não é ( Morango )
É framboesa !!!"
Fanta,neutro,é de framboesa com 1 Tok de pimenta ...
Fanta,neutro,ele a cada palavra :😁😂🤣😅😆
Fanta,neutro,FABIO PORCHAT TA DIFERENTE 😳😂😂😂😂
Fanta,neutro,tbm senti esse sabor
Fanta,neutro,ai representou nós com o copo de requeijão 😁
Fanta,neutro,Pedroo experimenta os novos Doritos.🤭
Fanta,neutro,prova os picolés do master chef 😍
Fanta,neutro,Véi seus vídeos são muito bons 😂😂😂
Fanta,neutro,pse
Fanta,neutro,eu comprei não experimentei ainda não
Fanta,neutro,hi hi hi hi hi
Fanta,neutro,eu senti gosto de morango com pimenta
Fanta,neutro,gente eu jurava que era a guaraná Jesus com pimenta
Fanta,negativo,😂😂 eu achei que tava doida da cabeça quando senti queimando tudo. Que bom que não tô.
